,index,id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_il_6m,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m
10,220067,1241345,1481687,19000.0,19000.0,19000.0, 36 months,12.12,632.17,B,B3,VMC/Apple,< 1 year,RENT,83200.0,Verified,Apr-2012,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1241345,  Borrower added on 04/12/12 > refinance credit cards<br>,credit_card,refiloan,941xx,CA,13.53,0.0,Nov-2000,0.0,,,14.0,0.0,13425.0,92.6,23.0,f,0.0,0.0,20858.8,20858.8,19000.0,1858.8,0.0,0.0,0.0,Apr-2013,14537.76,,Apr-2015,0.0,,1.0,INDIVIDUAL,,,,0.0,,,,,,,,,,,,,,,,,
11,306957,27600630,30103709,35000.0,35000.0,35000.0, 36 months,7.12,1082.62,A,A3,Assistant Superintendent,10+ years,MORTGAGE,132800.0,Verified,Sep-2014,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=27600630,,credit_card,Credit card refinancing,175xx,PA,18.1,0.0,Apr-1978,0.0,,,10.0,0.0,60488.0,80.9,36.0,f,20360.19,20360.19,17321.92,17321.92,14639.81,2682.11,0.0,0.0,0.0,Jan-2016,1082.62,Feb-2016,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,0.0,328497.0,,,,,,,,,,,,74800.0,,,
12,529944,65048368,69585110,30000.0,30000.0,30000.0, 60 months,13.67,692.93,C,C4,,,OWN,66000.0,Verified,Nov-2015,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=65048368,,debt_consolidation,Debt consolidation,191xx,PA,23.89,0.0,Jul-1986,2.0,,,19.0,0.0,134246.0,19.5,34.0,w,29293.64,29293.64,1363.08,1363.08,706.36,656.72,0.0,0.0,0.0,Jan-2016,692.93,Feb-2016,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,0.0,138025.0,,,,,,,,,,,,246400.0,,,
13,607635,60177228,64153993,9025.0,9025.0,9025.0, 36 months,18.25,327.41,E,E1,Education Coordinator,< 1 year,RENT,47000.0,Source Verified,Sep-2015,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=60177228,,debt_consolidation,Debt consolidation,726xx,AR,11.77,0.0,Apr-2002,1.0,40.0,,7.0,0.0,8756.0,60.8,22.0,f,8246.85,8246.85,1300.49,1300.49,778.15,522.34,0.0,0.0,0.0,Jan-2016,327.41,Feb-2016,Jan-2016,0.0,67.0,1.0,INDIVIDUAL,,,,0.0,84.0,11541.0,,,,,,,,,,,,14400.0,,,
14,99783,6818195,8440205,7500.0,7500.0,7500.0, 36 months,8.9,238.15,A,A5,Canon Business Process Services,8 years,RENT,28000.0,Not Verified,Aug-2013,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=6818195,"  Borrower added on 08/19/13 > This amount was accrued over time by unexpected expenses.  Medical, Car, Home etc.  I am able to pay this off over time, but I prefer to do it with a set amount and the lower rate offered here.  Thank you for your consideration.<br>",debt_consolidation,Debt Consolidation,750xx,TX,5.44,0.0,Feb-2000,1.0,,,5.0,0.0,6394.0,29.7,7.0,f,0.0,0.0,8301.11908178,8301.12,7500.0,801.12,0.0,0.0,0.0,Mar-2015,4254.42,,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,0.0,6394.0,,,,,,,,,,,,21500.0,,,
15,438699,12346496,14338652,9800.0,9800.0,9800.0, 36 months,12.49,327.8,B,B4,Design Engineer,< 1 year,MORTGAGE,85000.0,Not Verified,Feb-2014,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=12346496,  Borrower added on 02/22/14 > Want to consolidate debt into one loan with a lower interest rate.<br>,credit_card,Credit card refinancing,630xx,MO,7.51,0.0,Jul-2000,0.0,28.0,,4.0,0.0,21137.0,86.3,13.0,f,4249.94,4249.94,7211.6,7211.6,5550.06,1661.54,0.0,0.0,0.0,Dec-2015,327.8,Feb-2016,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,0.0,161222.0,,,,,,,,,,,,24500.0,,,
16,90597,7076350,8738523,14000.0,14000.0,14000.0, 60 months,17.1,348.69,C,C5,August Jackson,7 years,MORTGAGE,103500.0,Source Verified,Sep-2013,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=7076350,  Borrower added on 09/10/13 > Responsible borrower needs relief from high interest rates as well as a manageable plan to pay down debt. Please consider funding this loan that will make a significant impact on my financial trajectory.<br>,credit_card,Responsible Borrower Needs Rate Relief,217xx,MD,20.74,0.0,Jun-1994,1.0,,,18.0,0.0,66137.0,71.0,35.0,w,8910.34,8910.34,9763.32,9763.32,5089.66,4673.66,0.0,0.0,0.0,Jan-2016,348.69,Feb-2016,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,0.0,89269.0,,,,,,,,,,,,93200.0,,,
17,522556,65493338,70080091,15000.0,15000.0,15000.0, 36 months,6.24,457.97,A,A2,Investor Relations,3 years,MORTGAGE,300000.0,Source Verified,Nov-2015,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=65493338,,home_improvement,Home improvement,100xx,NY,5.3,0.0,Apr-1963,1.0,,,7.0,0.0,29010.0,97.0,9.0,w,14238.08,14238.08,910.74,910.74,761.92,148.82,0.0,0.0,0.0,Jan-2016,457.97,Feb-2016,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,0.0,1534546.0,,,,,,,,,,,,29900.0,,,
18,885971,37602289,40365374,35000.0,35000.0,34750.0, 60 months,20.99,946.68,E,E4,Principal,3 years,MORTGAGE,89952.0,Verified,Jan-2015,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=37602289,,major_purchase,Major purchase,442xx,OH,13.49,0.0,Jan-2002,1.0,,,10.0,0.0,28282.0,13.9,20.0,f,30597.42,30378.87,11373.19,11291.95,4402.58,6875.95,94.66,0.0,0.0,Jan-2016,946.68,Feb-2016,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,0.0,104139.0,,,,,,,,,,,,92300.0,,,
19,665754,55900038,59561813,11200.0,11200.0,11200.0, 36 months,7.26,347.16,A,A4,,,OWN,54000.0,Verified,Aug-2015,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=55900038,,major_purchase,Major purchase,783xx,TX,8.84,0.0,Nov-2003,1.0,,,5.0,0.0,2792.0,13.5,7.0,w,9785.99,9785.99,1731.28,1731.28,1414.01,317.27,0.0,0.0,0.0,Jan-2016,347.16,Feb-2016,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,0.0,10937.0,,,,,,,,,,,,20700.0,,,
20,645633,57892377,61645101,15000.0,15000.0,15000.0, 36 months,9.17,478.19,B,B2,Cashier,2 years,MORTGAGE,55000.0,Source Verified,Aug-2015,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=57892377,,debt_consolidation,Debt consolidation,940xx,CA,10.54,0.0,Aug-1988,1.0,,68.0,9.0,1.0,6969.0,54.9,30.0,w,13154.18,13154.18,2375.67,2375.67,1845.82,529.85,0.0,0.0,0.0,Jan-2016,478.19,Feb-2016,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,0.0,12517.0,,,,,,,,,,,,12700.0,,,
21,507446,66024731,70719460,35000.0,35000.0,35000.0, 36 months,16.55,1240.03,D,D2,Manager,2 years,RENT,104150.0,Verified,Dec-2015,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=66024731,,debt_consolidation,Debt consolidation,945xx,CA,1.37,0.0,Nov-2009,0.0,,,2.0,0.0,9492.0,31.6,6.0,w,34242.68,34242.68,1207.85,1207.85,757.32,450.53,0.0,0.0,0.0,Jan-2016,1240.03,Feb-2016,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,0.0,9492.0,,,,,,,,,,,,30000.0,,,
22,467120,67565683,72419399,11000.0,11000.0,11000.0, 60 months,18.99,285.29,E,E1,shipping clerk,10+ years,RENT,55000.0,Verified,Dec-2015,Issued,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=67565683,,moving,Moving and relocation,117xx,NY,0.94,0.0,Aug-2005,3.0,70.0,,14.0,0.0,1806.0,4.5,18.0,w,11000.0,11000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,Jan-2016,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,0.0,1806.0,2.0,0.0,0.0,0.0,90.0,0.0,,6.0,9.0,1788.0,4.5,40300.0,0.0,0.0,5.0
23,603271,60536784,64557562,28000.0,28000.0,27600.0, 36 months,13.99,956.84,C,C4,Manager,8 years,MORTGAGE,116000.0,Not Verified,Sep-2015,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=60536784,,debt_consolidation,Debt consolidation,300xx,GA,14.23,1.0,Jun-1998,0.0,1.0,,11.0,0.0,12962.0,51.8,17.0,f,25433.93,25070.59,3805.6,3751.23,2566.07,1239.53,0.0,0.0,0.0,Jan-2016,956.84,Feb-2016,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,1.0,0.0,367167.0,,,,,,,,,,,,23700.0,,,
24,385039,16442502,18524971,21000.0,21000.0,21000.0, 36 months,7.69,655.07,A,A4,Financial Advisor,10+ years,MORTGAGE,130000.0,Verified,May-2014,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=16442502,,credit_card,Credit card refinancing,750xx,TX,3.66,0.0,Nov-2000,0.0,,,6.0,0.0,6718.0,20.2,12.0,f,0.0,0.0,21756.9878575,21756.99,21000.0,756.99,0.0,0.0,0.0,Nov-2014,18481.64,,Dec-2014,0.0,,1.0,INDIVIDUAL,,,,0.0,0.0,15594.0,,,,,,,,,,,,33200.0,,,
25,726854,50436945,53816720,24000.0,24000.0,24000.0, 36 months,6.89,739.85,A,A3,Teacher,10+ years,MORTGAGE,62000.0,Verified,Jun-2015,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=50436945,,debt_consolidation,Debt consolidation,959xx,CA,7.43,0.0,Apr-2002,0.0,,,9.0,0.0,16867.0,34.5,21.0,w,20335.45,20335.45,4429.91,4429.91,3664.55,765.36,0.0,0.0,0.0,Dec-2015,739.85,Feb-2016,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,0.0,395644.0,,,,,,,,,,,,48900.0,,,
26,147217,4279866,5462450,16000.0,16000.0,16000.0, 36 months,12.12,532.35,B,B3,So Cal ROC,8 years,MORTGAGE,185000.0,Verified,Apr-2013,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=4279866,  Borrower added on 04/15/13 > I will be using the loan to pay off high interest loan.<br>,debt_consolidation,consolidate,920xx,CA,16.17,1.0,Mar-1977,2.0,8.0,,7.0,0.0,51458.0,98.7,35.0,f,1566.2,1566.2,17566.15,17566.15,14433.8,3132.35,0.0,0.0,0.0,Jan-2016,532.35,Feb-2016,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,0.0,554497.0,,,,,,,,,,,,63600.0,,,
27,178265,1578199,1846930,29100.0,29100.0,29100.0, 36 months,18.75,1063.02,D,D3,ESI Electrical Contractors,< 1 year,MORTGAGE,65000.0,Verified,Dec-2012,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1578199,  Borrower added on 12/15/12 > To consolidte Credit Card bills.<br>,credit_card,Credit Card Dept,410xx,KY,27.03,0.0,Mar-2000,3.0,,,19.0,0.0,23920.0,79.7,37.0,f,0.0,0.0,38268.507037699994,38268.51,29100.0,9168.51,0.0,0.0,0.0,Dec-2015,1062.8,,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,0.0,90041.0,,,,,,,,,,,,30000.0,,,
28,387452,16311499,18414022,8000.0,8000.0,7900.0, 36 months,10.15,258.71,B,B2,Attorney,< 1 year,RENT,120000.0,Not Verified,May-2014,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=16311499,,credit_card,Credit card refinancing,326xx,FL,18.52,2.0,Dec-1992,2.0,4.0,,14.0,0.0,24307.0,73.9,54.0,f,3594.19,3549.27,5434.2,5366.27,4405.81,1028.39,0.0,0.0,0.0,Jan-2016,258.71,Feb-2016,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,0.0,340607.0,,,,,,,,,,,,32900.0,,,
29,670673,55777533,59429258,20000.0,20000.0,20000.0, 36 months,6.89,616.54,A,A3,SECURITY MANAGER,10+ years,MORTGAGE,95000.0,Verified,Aug-2015,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=55777533,,debt_consolidation,Debt consolidation,310xx,GA,18.95,0.0,Nov-2002,0.0,,,14.0,0.0,23885.0,65.1,40.0,w,17462.49,17462.49,3075.04,3075.04,2537.51,537.53,0.0,0.0,0.0,Jan-2016,616.54,Feb-2016,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,0.0,168331.0,,,,,,,,,,,,36700.0,,,
30,536361,64340829,68810562,30975.0,30975.0,30975.0, 36 months,17.57,1113.16,D,D4,,,RENT,78216.0,Verified,Nov-2015,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=64340829,,debt_consolidation,Debt consolidation,220xx,VA,21.66,2.0,Oct-1993,2.0,78.0,46.0,11.0,1.0,7804.0,58.0,29.0,w,29456.51,29456.51,2279.16,2279.16,1518.49,760.67,0.0,0.0,0.0,Jan-2016,1039.63,Feb-2016,Jan-2016,0.0,23.0,1.0,INDIVIDUAL,,,,0.0,0.0,38240.0,,,,,,,,,,,,13401.0,,,
31,97640,6655111,8237262,19400.0,19400.0,19400.0, 36 months,15.88,680.9,C,C4,San Francisco Federal Credit Union,6 years,MORTGAGE,55000.0,Source Verified,Sep-2013,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=6655111,  Borrower added on 08/24/13 > I want to start and wanted to pay off all my credit cards. I always pay and it's not going down. I hope with this loan I can pay it off for good and don't want to see another bill<br><br> Borrower added on 08/24/13 > The loan is for paying off my credit cards. I always wanted to pay off but seems like its not going down. With this loan it will help me pay down and never see a bill. Thank you.<br>,credit_card,Pay back debt,940xx,CA,29.24,0.0,Oct-2001,3.0,,,9.0,0.0,23843.0,72.5,19.0,f,5138.89,5138.89,19061.5,19061.5,14261.11,4800.39,0.0,0.0,0.0,Jan-2016,680.9,Feb-2016,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,0.0,33560.0,,,,,,,,,,,,32900.0,,,
32,90394,7295132,8937260,22400.0,22400.0,22400.0, 36 months,11.99,743.9,B,B3,Nevada Public Utilities Commission,5 years,RENT,129000.0,Source Verified,Sep-2013,Default,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=7295132,  Borrower added on 09/11/13 > 100% of proceeds to pay down Credit Card debt. Will keep one credit card for emergencies<br>,credit_card,Credit card refinancing,897xx,NV,21.4,0.0,Aug-1999,1.0,,,12.0,0.0,27736.0,67.2,36.0,f,9026.88,9026.88,17109.25,17109.25,13373.12,3736.13,0.0,0.0,0.0,Aug-2015,743.9,Feb-2016,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,0.0,146522.0,,,,,,,,,,,,41300.0,,,
33,542918,63447955,67790756,18000.0,18000.0,18000.0, 60 months,10.99,391.28,B,B4,truck driver,7 years,RENT,74000.0,Source Verified,Nov-2015,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=63447955,,other,Other,902xx,CA,9.75,0.0,Oct-2000,0.0,,,3.0,0.0,7284.0,97.1,6.0,w,17545.07,17545.07,771.57,771.57,454.93,316.64,0.0,0.0,0.0,Jan-2016,391.28,Feb-2016,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,0.0,22961.0,,,,,,,,,,,,7500.0,,,
34,203584,1465913,1722045,3875.0,3875.0,3875.0, 36 months,15.31,134.92,C,C2,"Bridgeport Benefits, Inc. ",2 years,RENT,45000.0,Not Verified,Aug-2012,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1465913,"  Borrower added on 08/07/12 > The purpose of my loan is to pay off my credit cards.  I have two major credit cards totaling $1,600 and two other credit cards totaling $1000.00<br>",debt_consolidation,Creditors Payoff ,913xx,CA,17.77,0.0,May-1999,0.0,47.0,,5.0,0.0,1836.0,96.6,19.0,f,0.0,0.0,4446.5,4446.5,3875.0,571.5,0.0,0.0,0.0,Oct-2013,2565.19,,Jul-2015,0.0,,1.0,INDIVIDUAL,,,,0.0,,,,,,,,,,,,,,,,,
35,693406,54533675,58114395,10000.0,10000.0,10000.0, 60 months,13.99,232.64,C,C4,Install and service,< 1 year,MORTGAGE,35000.0,Source Verified,Jul-2015,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=54533675,,credit_card,Credit card refinancing,471xx,IN,29.15,0.0,Apr-2002,2.0,,37.0,10.0,2.0,6838.0,49.6,27.0,w,9283.05,9283.05,1388.07,1388.07,716.95,671.12,0.0,0.0,0.0,Jan-2016,232.64,Feb-2016,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,0.0,43278.0,,,,,,,,,,,,13800.0,,,
36,223772,1183810,1425246,6000.0,6000.0,6000.0, 36 months,15.81,210.38,C,C4,Colorado State University,2 years,RENT,70000.0,Source Verified,Mar-2012,Charged Off,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1183810,  Borrower added on 03/12/12 > Personal Loan to pay off bills<br>,debt_consolidation,Personal Loan,805xx,CO,22.1,0.0,May-1996,1.0,,,17.0,0.0,10265.0,76.0,52.0,f,0.0,0.0,5933.43,5933.43,4209.04,1448.45,0.0,275.94,2.5317,Jun-2014,210.38,,Nov-2014,0.0,,1.0,INDIVIDUAL,,,,0.0,,,,,,,,,,,,,,,,,
37,538635,63590357,67986069,14400.0,14400.0,14300.0, 60 months,12.05,320.69,C,C1,Lead Support,< 1 year,MORTGAGE,64000.0,Not Verified,Nov-2015,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=63590357,,credit_card,Credit card refinancing,799xx,TX,18.38,0.0,Dec-1999,0.0,,,17.0,0.0,19325.0,43.9,36.0,f,14046.05,13948.51,626.92,622.57,353.95,272.97,0.0,0.0,0.0,Jan-2016,320.69,Feb-2016,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,1945.0,308699.0,,,,,,,,,,,,44000.0,,,
38,191022,1617272,1889100,6400.0,6400.0,6375.0, 36 months,8.9,203.23,A,A5,RAIL,9 years,MORTGAGE,40000.0,Not Verified,Oct-2012,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1617272,  Borrower added on 10/15/12 > This loan is to consolidate some of my credit card debt because the interest is about 24% and Im getting nowhere paying the balance due. Im looking to lower my interest rate to pay it off faster<br>,credit_card,debt cons,635xx,MO,27.84,0.0,Jan-1999,0.0,,,16.0,0.0,18361.0,55.0,34.0,f,0.0,0.0,7284.14426917,7255.7,6400.0,884.14,0.0,0.0,0.0,Jun-2015,94.17,,May-2015,0.0,,1.0,INDIVIDUAL,,,,0.0,0.0,65059.0,,,,,,,,,,,,33400.0,,,
